"Entry_Time","Entry_Price","Exit_Time","Exit_Price","Strategy","PnL","Status"
"2025-05-29T22:50:00.000Z",106135.51,"2025-05-29T22:57:00.000Z",105979.73,"MACD Crossover",-156,"Loss"
"2025-05-29T23:06:00.000Z",106031.61,"2025-05-29T23:18:00.000Z",105833.53,"MACD Crossover",-198,"Loss"
"2025-05-29T23:06:00.000Z",106031.61,"2025-05-29T23:12:00.000Z",105973.1,"RSI-EMA",-59,"Loss"
"2025-05-29T23:13:00.000Z",105984.12,"2025-05-29T23:17:00.000Z",105787.47,"RSI-EMA",-197,"Loss"
"2025-05-29T23:32:00.000Z",105847.65,"2025-05-29T23:34:00.000Z",105741.8,"RSI-EMA",-106,"Loss"
"2025-05-29T23:33:00.000Z",105828.17,"2025-05-29T23:48:00.000Z",105347.4,"MACD Crossover",-481,"Loss"
"2025-05-29T23:36:00.000Z",105832.01,"2025-05-29T23:37:00.000Z",105790.91,"RSI-EMA",-41,"Loss"
"2025-05-29T23:38:00.000Z",105817.56,"2025-05-29T23:48:00.000Z",105347.4,"RSI-EMA",-470,"Loss"
"2025-05-29T23:53:00.000Z",105699.99,"2025-05-29T23:55:00.000Z",105619.05,"RSI-EMA",-81,"Loss"
"2025-05-29T23:56:00.000Z",105605.85,"2025-05-30T00:29:00.000Z",106062.85,"MACD Crossover",457,"Win"
"2025-05-30T00:02:00.000Z",105758.25,"2025-05-30T00:03:00.000Z",105731.59,"RSI-EMA",-27,"Loss"
"2025-05-30T00:05:00.000Z",105871.27,"2025-05-30T00:19:00.000Z",105952.94,"RSI-EMA",82,"Win"
"2025-05-30T00:20:00.000Z",106012.65,"2025-05-30T00:27:00.000Z",106069.88,"RSI-EMA",57,"Win"
"2025-05-30T00:28:00.000Z",106001.1,"2025-05-30T00:31:00.000Z",105946.01,"RSI-EMA",-55,"Loss"
"2025-05-30T00:39:00.000Z",105937.86,"2025-05-30T00:46:00.000Z",105704.01,"RSI-EMA",-234,"Loss"
"2025-05-30T00:51:00.000Z",105636.98,"2025-05-30T00:53:00.000Z",105377.62,"RSI-EMA",-259,"Loss"
"2025-05-30T01:04:00.000Z",105101.95,"2025-05-30T01:36:00.000Z",105648.7,"MACD Crossover",547,"Win"
"2025-05-30T01:08:00.000Z",105483.13,"2025-05-30T01:09:00.000Z",105392.4,"RSI-EMA",-91,"Loss"
"2025-05-30T01:10:00.000Z",105429.47,"2025-05-30T01:11:00.000Z",105364.9,"RSI-EMA",-65,"Loss"
"2025-05-30T01:12:00.000Z",105467.66,"2025-05-30T01:19:00.000Z",105455.02,"RSI-EMA",-13,"Loss"
"2025-05-30T01:24:00.000Z",105619.05,"2025-05-30T01:34:00.000Z",105621.12,"RSI-EMA",2,"Win"
"2025-05-30T01:37:00.000Z",105764.55,"2025-05-30T01:50:00.000Z",105595.58,"RSI-EMA",-169,"Loss"
"2025-05-30T01:39:00.000Z",105821.28,"2025-05-30T01:48:00.000Z",105726.66,"MACD Crossover",-95,"Loss"
"2025-05-30T02:03:00.000Z",105838.84,"2025-05-30T02:11:00.000Z",105981.45,"RSI-EMA",143,"Win"
"2025-05-30T02:04:00.000Z",105900,"2025-05-30T02:17:00.000Z",105910.33,"MACD Crossover",10,"Win"
